mal_class,feature,label,importance,importance_sd,share
A1,kpm_sub_rate,KPM sub. rate,0.1827933087738458,0.021862756019589046,0.3142468766023369
A1,kpm_ran_funcs,KPM RAN funcs,0.15762200079680988,0.024463577152816322,0.2709739309740843
A1,kpm_volume_kbps,KPM volume,0.18044840789887465,0.031200179469203688,0.31021566900045777
A1,rc_ctrl_rate,RC ctrl rate,-0.004906306197541776,0.00679381513687956,0.0
A1,rnti_coverage,RNTI coverage,0.016429704420108472,0.003443097856453462,0.028244925003827165
A1,prb_delta_mean,PRB delta,0.016164896000554797,0.0021171259114995756,0.027789682854642707
A1,ho_trigger_rate,HO trig. rate,0.0,0.0,0.0
A1,pred_entropy,pred. entropy,0.012192511469290434,0.005975227970198397,0.020960606670253002
A1,pred_kl_div,pred. KL div.,0.01603612565470054,0.0013094469207067094,0.0275683088926791
A2,kpm_sub_rate,KPM sub. rate,0.023806321167136612,0.0038581643264001745,0.04022981646609703
A2,kpm_ran_funcs,KPM RAN funcs,0.024054898328628303,0.002858961262870385,0.04064988194006362
A2,kpm_volume_kbps,KPM volume,0.01821174906796925,0.00585900185388829,0.03077566321092942
A2,rc_ctrl_rate,RC ctrl rate,0.19932534708819144,0.014980973279314296,0.3368358375954617
A2,rnti_coverage,RNTI coverage,0.1139641366589961,0.008655568637157104,0.19258566955055748
A2,prb_delta_mean,PRB delta,0.14849025077762376,0.022289584563582945,0.25093064543021276
A2,ho_trigger_rate,HO trig. rate,0.018412704623631936,0.001324211871606954,0.031115253904736934
A2,pred_entropy,pred. entropy,0.02203690767039861,0.005256422612260194,0.037239720695874896
A2,pred_kl_div,pred. KL div.,0.02345581971005457,0.009517023903673299,0.03963751120437624
A3,kpm_sub_rate,KPM sub. rate,0.020685855673288067,0.005658772871360711,0.02942926849051796
A3,kpm_ran_funcs,KPM RAN funcs,0.01580651834393374,0.00675004645493127,0.022487552827926253
A3,kpm_volume_kbps,KPM volume,0.019416656774067696,0.0029558607775831683,0.027623609794887653
A3,rc_ctrl_rate,RC ctrl rate,0.02058825943280327,0.006994057429405193,0.029290420670526587
A3,rnti_coverage,RNTI coverage,0.01724588183513167,0.001883024764477927,0.024535300588857042
A3,prb_delta_mean,PRB delta,0.016726166670026733,0.0024401218016303163,0.023795914344747378
A3,ho_trigger_rate,HO trig. rate,0.023928807088218228,0.005574861087386837,0.03404293733743565
A3,pred_entropy,pred. entropy,0.28715284946458963,0.023827710599525827,0.40852544067699353
A3,pred_kl_div,pred. KL div.,0.281349781199136,0.018062685830217532,0.4002695552666854
