mal_class,percentile,tpr,tpr_sd,fpr,fpr_sd
A1,80.0,0.9935555555555554,0.0008314794192831,0.291962962962963,0.0116302193764126
A1,85.0,0.9931111111111112,0.000831479419283,0.2185185185185185,0.0059846626101165
A1,90.0,0.9926666666666666,0.0008888888888888,0.145,0.0065189393803531
A1,93.0,0.9926666666666666,0.0008888888888888,0.1044814814814814,0.0085509848300523
A1,95.0,0.992,0.000831479419283,0.0772222222222222,0.0104310394670013
A1,97.0,0.9915555555555556,0.0013333333333333,0.0501851851851851,0.0097365855100076
A1,98.0,0.9911111111111112,0.0014054567378526,0.0362592592592592,0.006612330004868
A1,99.0,0.9911111111111112,0.0014054567378526,0.0194074074074074,0.0048972991632786
A1,99.5,0.9886666666666668,0.0040612593072215,0.0102222222222222,0.0039551671330999
A1,99.9,0.9591111111111112,0.0569140569327403,0.0034814814814814,0.0028216291784801
A2,80.0,0.99,0.0026293687924887,0.2666666666666667,0.0170011699750711
A2,85.0,0.9893333333333332,0.0031111111111111,0.2028518518518518,0.0211106562654054
A2,90.0,0.9886666666666668,0.00257240820062,0.1401851851851852,0.0194643636948819
A2,93.0,0.9873333333333332,0.0026851213274655,0.1032962962962963,0.0206547157799524
A2,95.0,0.9871111111111112,0.0026851213274655,0.0767037037037037,0.0158423301274879
A2,97.0,0.9864444444444443,0.00257240820062,0.0485555555555555,0.0141408746089156
A2,98.0,0.9855555555555556,0.0025337231668869,0.0342592592592592,0.0110876295086331
A2,99.0,0.9844444444444445,0.0029814239699996,0.0192592592592592,0.0064459342679789
A2,99.5,0.9833333333333334,0.0028974232912011,0.0085555555555555,0.004
A2,99.9,0.9815555555555556,0.0026851213274654,0.0022222222222222,0.0019173598674881
A3,80.0,0.9815555555555556,0.0005443310539517,0.2830740740740741,0.0133279824654026
A3,85.0,0.9813333333333332,0.000831479419283,0.2195555555555555,0.012701921913702
A3,90.0,0.9806666666666668,0.0008888888888889,0.1527777777777777,0.0118234613664158
A3,93.0,0.9804444444444446,0.0005443310539518,0.1055555555555555,0.0148596543649697
A3,95.0,0.9802222222222224,0.0004444444444444,0.0754074074074074,0.0137653269109638
A3,97.0,0.98,0.0007027283689263,0.0438148148148148,0.0082457121916378
A3,98.0,0.9795555555555556,0.0005443310539517,0.0303703703703703,0.0079702808751687
A3,99.0,0.9793333333333332,0.0005443310539517,0.0144444444444444,0.0054269054860948
A3,99.5,0.9791111111111112,0.0004444444444444,0.0085555555555555,0.0039499613653021
A3,99.9,0.9782222222222222,0.0005443310539518,0.0018888888888888,0.0016538602638345
